subject,party,poll_start,poll_end,pollster,grade,sample_size,population,poll_weight,poll_influence,approve,disapprove,approve_adjusted,disapprove_adjusted,registered_voter,likely_voter
Trump,D,2021-01-16,2021-01-19,YouGov,B+,601,unregistered,0.83872427,0.83872427,11,87,10.208881,88.732777,FALSE,FALSE
Trump,D,2021-01-16,2021-01-19,American Research Group,C+,359,unregistered,0.5611715,0.5611715,1,97,3.6395259,95.885691,FALSE,FALSE
Biden,I,2021-01-24,2021-01-26,YouGov,B+,645,unregistered,0.82745923,0,46,25,52.456217,22.278939,FALSE,FALSE
Biden,I,2021-01-28,2021-02-01,Quinnipiac University,A-,376.25,unregistered,0.69165221,0,59,29,57.622892,30.202976,FALSE,FALSE
Biden,I,2021-01-29,2021-02-01,Morning Consult,B,575,registered voter,0.68428548,0,53,32,54.692427,32.623577,TRUE,FALSE
Biden,I,2021-01-31,2021-02-02,YouGov,B+,448,unregistered,0.50852146,0,46,36,52.456217,33.278939,FALSE,FALSE
Biden,I,2021-02-05,2021-02-07,YouGov,B+,410,unregistered,0.43620136,0,40,37,46.456217,34.278939,FALSE,FALSE
Biden,I,2021-02-06,2021-02-09,YouGov,B+,408,unregistered,0.42650983,0,44,38,50.456217,35.278939,FALSE,FALSE
Biden,I,2021-02-03,2021-02-18,Gallup,B+,415,unregistered,0.78827448,0,66,32,64.605148,31.208519,FALSE,FALSE
Biden,I,2021-02-11,2021-02-15,Global Strategy Group/GBAO (Navigator Research),B/C,245.41,registered voter,0.39075219,0,55,28,56.747601,28.794009,TRUE,FALSE
Biden,I,2021-02-11,2021-02-14,Quinnipiac University,A-,401.28,unregistered,0.73217828,0,61,27,59.622892,28.202976,FALSE,FALSE
Biden,I,2021-02-12,2021-02-15,YouGov,B+,415,unregistered,0.42942988,0,44,35,50.456217,32.278939,FALSE,FALSE
Biden,I,2021-02-12,2021-02-15,Morning Consult,B,541,registered voter,0.48934551,0,55,31,56.692427,31.623577,TRUE,FALSE
